01.06.2022;0;0,00
02.06.2022;0;0,00
03.06.2022;0;0,00
04.06.2022;0;0,00
05.06.2022;0;0,00
06.06.2022;0;0,00
07.06.2022;2;2,20
08.06.2022;0;0,00
09.06.2022;0;0,00
10.06.2022;0;0,00
11.06.2022;0;0,00
12.06.2022;0;0,00
13.06.2022;9;0,92
14.06.2022;0;0,00
15.06.2022;0;0,00
16.06.2022;0;0,00
17.06.2022;0;0,00
18.06.2022;0;0,00
19.06.2022;0;0,00
20.06.2022;0;0,00
21.06.2022;0;0,00
22.06.2022;0;0,00
23.06.2022;0;0,00
24.06.2022;0;0,00
25.06.2022;14;1,56
26.06.2022;0;0,00
27.06.2022;0;0,00
28.06.2022;0;0,00
29.06.2022;0;0,00
30.06.2022;0;0,00
01.07.2022;0;0,00
02.07.2022;0;0,00
03.07.2022;0;0,00
04.07.2022;0;0,00
05.07.2022;0;0,00
06.07.2022;0;0,00
07.07.2022;0;0,00
08.07.2022;16;1,51
09.07.2022;0;0,00
10.07.2022;0;0,00
11.07.2022;0;0,00
12.07.2022;0;0,00
13.07.2022;0;0,00
14.07.2022;0;0,00
15.07.2022;9;1,39
16.07.2022;0;0,00
17.07.2022;0;0,00
18.07.2022;0;0,00
19.07.2022;0;0,00
20.07.2022;0;0,00
21.07.2022;0;0,00
22.07.2022;0;0,00
23.07.2022;0;0,00
24.07.2022;0;0,00
25.07.2022;0;0,00
26.07.2022;0;0,00
27.07.2022;0;0,00
28.07.2022;0;0,00
29.07.2022;8;0,96
30.07.2022;0;0,00
31.07.2022;0;0,00
